stop,lat,lon,routes,trips
Hanumanthegowdanapalya Makali,13.07122354,77.46160090,1,2
Harohalli Doddaballapura Road,13.13060987,77.58027255,3,20
Harohalli Palya,13.17113134,77.51154933,0,0
Harohallipalya Cross,13.16664900,77.51675314,0,0
Harokyatanahalli,13.05427300,77.44734228,3,7
Heggadadevanapura,13.07596192,77.45860216,7,76
Heritage Estate Rajanukunte,13.11822764,77.57758297,2,2
Hesaraghatta,13.13784328,77.47913047,8,67
Hesaraghatta TB Cross,13.13031535,77.48439365,62,572
Hesaraghatta Work shop,13.15628726,77.49849334,0,0
Honnasandra Mattahalli,13.11712202,77.44732819,0,0
Honnenahalli Rajanukunte,13.15979105,77.56661545,14,26
Hosahallipalya Thotagere,13.12752760,77.45409608,1,9
Hosahudya Doddaballapura,13.23671839,77.55101234,2,7
Hulegowdanahalli Cross,13.06850825,77.39461304,6,75
Hullegowdanahalli,13.06047397,77.40653247,6,31
Hullegowdanahalli Cross,13.05943537,77.39379264,21,164
Hunnigere Cross Sondekoppa,13.03917517,77.39104739,7,77
Hunnigere Sondekoppa,13.03259616,77.39647352,2,17
Hurali Chikkanahalli Hesaraghatta Road,13.11594953,77.48280539,3,8
Huskur Baare Hesaraghatta Road,13.13696802,77.43923396,7,34
Huskur Cross Mattahalli,13.12047936,77.42319167,0,0
Huskur Village Makali,13.12327900,77.43096309,5,30
IAF Yelahanka,13.13107889,77.61502881,119,782
IITGF,13.10249834,77.62880847,0,0
Indian Institute of Horticultural Research TB,13.13539189,77.49096371,15,155
Indo Dyanish Farm,13.16121895,77.47998476,11,87
Ittagalpura,13.17466390,77.54258216,7,35
Ittige Factory Kogilu,13.10255814,77.62946387,32,314
Ivarukandapura,13.13764590,77.49448560,17,164
Jakkur Aerodrum,13.07623121,77.59294404,212,1791
Jally Machine MS Palya,13.08588998,77.55564058,15,152
Janapriya Township,12.99889342,77.44273798,33,181
Jindal,13.05397828,77.48317663,185,1225
Jnana Deepika Bhargavi English School,13.08223393,77.58808784,0,0
Judical Layout Jn of 14th Cross,13.08346315,77.58470894,0,0
Judicial Layout Yelahanka,13.08868238,77.58239352,5,34
Junnasandra Madhure Temple,13.19205665,77.47719148,3,14
Kachohalli,13.00016456,77.47057825,6,88
Kachohalli Gate,12.99049758,77.46865707,146,847
Kadabagere,12.99682540,77.43316540,14,68
Kadabagere Cross,12.98910156,77.44971470,147,743
Kadirenahalli Madanayakanahalli,13.04180274,77.44848094,3,7
Kakkehalli,13.21529461,77.52799899,1,1
Kakkepalya Nelamangala,13.06101918,77.37999603,2,14
Kakolu,13.18710562,77.52009567,20,114
Kalathammanahalli,13.10345767,77.51686791,4,19
Kalenahalli,13.14897316,77.50502903,3,14
Kalpalya Aluru,13.10165016,77.47198334,3,22
Kamadhenu Kshetra Vaddarahalli,13.02534364,77.44980756,6,22
Kamakshipura,13.19817025,77.48909853,10,55
Kammasandra Madanayakanahalli,13.03453112,77.43939393,7,31
Kammasandrapalya,13.02985109,77.43901508,6,22
Kanakanagara Totagere,13.13824464,77.43473121,7,34
Kanshiramnagara,13.09064177,77.53892094,2,8
Karekalpalya,13.06995142,77.40216788,8,39
Karekalpalya Cross Mallapura,13.06648569,77.40347983,0,0
Karlapalya Kanasawadi,13.20860208,77.50087491,0,0
Karlapura,13.21251630,77.49562740,2,8
Kasaghattapura Siluvepura Road,13.11062924,77.50441432,2,13
Kebbepalya Gate,13.09008465,77.51395293,2,4
Kempaiahnagara,13.10817433,77.48247385,10,55
Kempammadevinagara,13.06492487,77.42026538,1,3
Kempanahalli,13.10653160,77.54886991,0,0
Kempapura Soladevanahalli,13.09469048,77.49958796,3,20
Kenchanahalli Yelahanka,13.11953178,77.58437634,0,0
Kendriya Vihara,13.10652852,77.60158772,149,908
Kenganahalli,13.05159346,77.41170712,6,31
Kenganahalli Cross,13.04045238,77.42691994,3,3
KG Lakkenahalli,13.02584240,77.45954848,1,28
KG Srinivasapura Cross Nelamangala,13.12902013,77.40025923,5,15
Kittanahalli,13.00894610,77.41957651,16,87
KMF Kakolu,13.18844956,77.50746668,15,80
Kodipalya Nagaruru,13.09606737,77.44515927,25,129
Kogilu Agrahara Layout,13.10265313,77.62768731,1,0
Kogilu Cross,13.10388385,77.60025157,243,1562
Kogilu Layout,13.10478286,77.62977540,0,0
Koli Farm Gate Hesaraghatta,13.17189950,77.50281103,0,0
Koluvarayanahalli,13.16496614,77.52164887,13,104
Kondappanahalli,13.06383205,77.38159731,2,14
Kondashettyhalli,13.12655327,77.51418292,2,12
Kongovi Pvt Ltd,13.15427147,77.43826032,1,1
Kuduregere Katte,13.06831689,77.46684395,1,2
Kuduregere Madanayakanahalli,13.07521049,77.47339269,9,68
Kumbarahalli Cross Soldevanahalli,13.09669211,77.49396720,0,0
Kumbarahalli Tarabanahalli,13.10655534,77.49023281,3,19
Kurubarahalli Dodda Byalakere,13.12673480,77.51954131,1,6
Lakkenahalli Sondekoppa,13.04468220,77.39272378,6,75
Lakkenahalli Village Sondekoppa,13.04358604,77.39780188,2,3
Lakshmaiah Badavane,12.98089997,77.46431798,1,9
Lakshmipura Cross MS Palya,13.09203718,77.53399934,2,8
Lakshmipura Madanayakanahalli,13.03749907,77.46117740,6,31
Lingadeeranahalli,12.99895386,77.47899569,2,14
Linganahalli,13.15811748,77.52390057,7,38
Lingarajapura Shivkote,13.12683407,77.53372818,3,4
Machohalli,13.00613652,77.45286727,7,45
Machohalli Colony,12.99754560,77.45129987,7,45
Machohalli Gate,12.99079029,77.45428043,141,766
Madanayakanahalli,13.06097320,77.46183756,188,1200
Madappanahalli Singanayakanahalli,13.14862394,77.55208871,8,43
Madavara,13.05673694,77.47458816,178,1168
Madavara Village,13.05295871,77.47231364,2,6
Madugirihalli Shivakote,13.12790046,77.50722393,0,0
Makali,13.06558747,77.45447591,180,1124
Makali Govt High School,13.06879845,77.45638590,7,76
Mallaiahnapalya Channenahalli,12.98569469,77.42724650,3,14
Mallapura Nelamangala,13.07273304,77.39367731,9,101
Mallasandra Sondekoppa,13.00255080,77.39414118,17,124
Malya Adhithi School,13.10166369,77.58297622,10,17
Mantri Layout Nagaruru,13.08453350,77.44771008,27,131
Maragondanahalli,13.20632243,77.56285966,3,24
Marasandra Doddaballapura,13.22273583,77.54972305,2,7
Marasandra Gate,13.22273258,77.54934704,10,62
Marasandra Govt School,13.23076315,77.55015835,27,283
Maruthinagara Kogilu,13.10445265,77.60633466,33,316
Mathkur Shivakote,13.15524536,77.50795658,4,14
Mattahalli,13.10819637,77.45703431,14,87
Mattahalli APMC Yard,13.10483981,77.44384230,23,125
Mattahalli Basappa Layout,13.10659710,77.45375008,8,51
Mattahalli Cross,13.11053468,77.44410516,25,148
Mavallipura,13.12770551,77.52854085,5,45
Meda Agrahara MS Palya,13.10121830,77.53079248,1,6
Meenakshi Layout Bagalagunte,13.06548074,77.49287814,10,107
MES College Aradeshanahalli Road,13.21752467,77.55551121,10,50
Metipalya Tavarekere,12.99352232,77.40229765,16,115
Mid City Layout,13.14514706,77.54381928,1,3
Morison Factory,13.05067977,77.49239188,27,157
Mother Dairy Yelahanka,13.09946890,77.57707882,50,237
MS Palya Yelahanka,13.08182206,77.54849306,36,259
Muddanahalli,13.15224218,77.57730603,2,13
Muniswamappa Layout,13.04399563,77.49057546,2,21
Muthugadahalli Shivakote,13.14117267,77.52618648,0,0
Mutturayanaswamy Temple Kadabagere Cross,12.99178773,77.44262442,34,215
Mylanahalli Gate Nelamangala,13.12710350,77.39841452,5,15
Mylappanahalli,13.13696237,77.53491640,4,30
Nagadasanahalli,13.15987128,77.57783443,2,13
Nagarajuna College Ananthapura,13.11722272,77.56132711,3,28
Nagaruru,13.09114664,77.43460245,0,0
Nagaruru Cross,13.09196943,77.44524982,27,131
Nagasandrapalya Sondekoppa,13.00147977,77.37739027,0,0
Nagenahalli Gate Yelahanka,13.12997044,77.57146366,16,28
Nagenahalli Yelahanka,13.13111139,77.57467747,0,0
Narasipura Mattahalli,13.10985122,77.46350604,6,35
Nellukunte Marasandra,13.22212138,77.54198021,0,0
New Age World School Yelahanka,13.13996461,77.53941705,1,3
NICE Road 1st Stone,13.04215281,77.47549072,3,10
NICE Road 2nd Stone,13.03237273,77.47574888,3,10
NICE Road 3rd Stone,13.02288104,77.47560069,3,10
NICE Road 4th Stone,13.00936769,77.47512124,3,10
NICE Road Juction Tumkur Road,13.05348913,77.47685462,3,10
Nisarga Layout Makali,13.07161078,77.45273649,27,131
Nitte International School,13.14799000,77.55112231,2,16
Nitte Meenakshi College,13.13126289,77.58980244,1,7
Nruthyagrama Hesaraghatta,13.15420361,77.47292085,9,80
Paakegowdanapalya,13.11448240,77.51061773,6,46
Palanahalli Gate,13.11708153,77.60806561,156,935
Papabhovipalya,13.06567278,77.40413725,2,21
Parvathipura,13.17242187,77.56560054,17,75
Patalamma Temple Sadenahalli,13.18335933,77.57038582,24,33
Pillahalli,13.10279338,77.42899080,5,40
Police Traning Centre Devanahalli Road,13.12357018,77.60530829,1,3
Poultry Farm,13.14925152,77.47650522,12,90
Puttenahalli,13.11079251,77.57844463,223,1240
Puttenahalli Yelahanka,13.10991478,77.58012906,7,23
Raghavendra Dhama Byalakere,13.11460447,77.51465566,5,35
Raghavendra Layout Kadabagere,12.99388245,77.43866252,2,2
Rainbow Layout Vaderahalli,13.10122481,77.53930449,3,14
Rajanukunte,13.17320933,77.56431291,94,681
Rajeshwarinagara Madanayakanahalli,13.04528339,77.46129846,6,31
Ramagondanahalli Yelahanka,13.11935936,77.55857699,3,28
Ravuthanahalli,13.02664672,77.42385224,9,39
Ravuthanahalli Cross Bengaluru Mangalore Hwy,13.07336614,77.43898206,1,1
RJNK,13.17221317,77.56444474,12,24
Sadenahalli,13.19469119,77.57269804,2,15
Sambhram College MS Palya,13.08827709,77.54665024,2,8
Sapthagiri Layout,13.10459616,77.61049737,53,356
Sasuveghatta,13.08469563,77.47534119,4,20
Seegehalli Gate,12.98403234,77.44389563,171,906
Seeresandra Byatha,13.19185576,77.48333988,8,51
Seethakempanahalli Byatha Road,13.16883303,77.52107084,1,40
Shamarajapura MS Palya,13.10418960,77.54662894,0,0
Shanthinagara Gangondanahalli,13.02625990,77.47342609,3,60
Shanthinagara Ravuthanahalli,13.01987163,77.42182346,6,36
Shanubhoganahalli Dibburu,13.17915229,77.53129343,4,25
Sharavathi Hotel Yelahanka,13.09772993,77.58427961,5,18
Sheshadri Nagara Bagalagunte,13.06396401,77.48857051,1,3
Sheshadripuram College Yelahanka,13.09941703,77.58811534,60,442
Shivakote,13.13393205,77.51471277,18,127
Shivanapura,13.04432291,77.42604353,7,27
Shree Chakra Nagara,13.00884861,77.47624643,2,2
Shreya Residency,13.10469403,77.60011286,2,3
Shrusti School Yelahanka,13.10699682,77.57605211,8,140
Siddana Hosahalli Madanayakanahalli,13.05679639,77.46015385,6,31
Sidedahalli,13.06249401,77.49514502,15,174
Siemens Bank Muthkuru,13.14915848,77.49674052,0,0
Siluvepura,13.11423874,77.50107774,11,65
Singanayakanahalli Rajanukunte,13.14757366,77.56978204,13,25
Soladevanahalli Hesaragatta Road,13.09197741,77.48848066,2,3
Soladevanahalli Police Station,13.09344236,77.48887866,77,607
Sondekoppa,13.01881582,77.38418515,26,177
Sonnenahalli Byatha,13.19771095,77.50034407,2,8
Sri Banashankari Layout Rajanukunte,13.17153960,77.55796254,3,56
Srinivasapura Kogilu,13.10348190,77.62346149,31,314
Sri Rakum School Bettenahalli,13.19485137,77.58925866,0,0
Sri Ramanahalli,13.19510058,77.56294616,41,376
Sri Sai Packaging Company,12.99761771,77.46315189,5,9
Sundaranagara Arsihinakunte,13.07151683,77.42286377,3,4
Surabhi Layout Yelahanka,13.09608748,77.60015443,0,0
Suradenapura Yelahanka,13.20439657,77.55906987,1,1
T Agrahara Tharahunase,13.18134954,77.57890575,0,0
TCI Madanayakanahalli,13.05922617,77.46540934,27,155
Thammarasanahalli Hesarughatta,13.12632863,77.49752641,2,10
Thammenahalli Chikkabanavara,13.08433249,77.48879448,8,65
Tharabanahalli Hesaraghatta Road,13.10530505,77.47916154,3,8
Thimmabhovipalya Shivanapura,13.05958234,77.41923675,2,4
Thippennahalli,13.02936311,77.48360826,3,13
Thirumala Dhaba Attur Layout,13.09773354,77.56316898,39,260
Thirumalapura Hesaraghatta Road,13.12543985,77.48365604,3,8
Thore Nagasandra,13.11457117,77.47467868,4,21
Thore Nagasandra Cross,13.11193800,77.48192534,52,507
Thotada Guddadahalli Bagalagunte,13.06831298,77.48935036,10,144
Thotada Guddadahalli Govt School,13.06999884,77.48689681,2,24
Thotagere Basavanna Devastana,13.13817434,77.45364278,23,153
Thotagere Village Hesaraghatta Road,13.13611846,77.44598240,8,37
Tredent Automobiles Makali,13.07006742,77.45287031,2,2
Vaddarahalli,13.01493716,77.44690822,14,62
Vaderahalli MS Palya,13.09605743,77.53738202,1,2
Vaderahalli Nagaruru,13.09932384,77.44478513,25,129
Veeraiah Enclave Arishinakunte,13.07407596,77.42321916,7,21
Veerasagara,13.10476523,77.55415521,3,18
Venkatala,13.11138610,77.60455583,178,1176
Vidyaranyapura,13.08364081,77.56078966,48,372
Vidyaranyapura Bus Station,13.08386613,77.56028473,50,511
Vidyaranyapura Durga Parameshwari Temple,13.08167356,77.55974808,43,428
Vidyaranyapura Echalamara,13.07980117,77.55929432,43,428
Vinayakanagara Arsihinakunte,13.06754482,77.42233671,4,7
Vinayakanagara Hesarghatta,13.13859356,77.47475378,12,103
Vinayakanagara MS Palya,13.08258195,77.54329562,3,24
Vishwa Shanti Ashrama Nelamangala,13.08406595,77.41710731,108,748
Vivekananda Vidyavardhaka Hesaraghatta,13.13945831,77.46981561,25,164
VRL Gowdon Jakkur,13.08657145,77.60412813,1,11
Wheel and Axle Plant NES,13.10577033,77.58231640,104,781
Yale Kodigehalli,12.98291377,77.46845596,11,98
Yediyurappanagara,13.15099935,77.55950994,7,42
Yelahanka 4th Phase,13.10447199,77.57000104,6,14
Yelahanka 4th Phase Govt School,13.10328923,77.57684938,15,170
Yelahanka 5th Phase,13.10575465,77.57250622,41,416
Yelahanka NES Office,13.09779197,77.59169501,138,589
Yelahanka Old Town,13.10068796,77.59434879,134,1186
Yelahanka Police Station,13.09464541,77.59438634,23,59
Yelahanka Raitarasanthe,13.09758245,77.59891860,4,25
Yelahanka RTO Office,13.15115667,77.55615086,6,39
Yelahanka Santhe Circle,13.09797757,77.59658843,269,1977
Yelahanka Satellite Town,13.09563048,77.57898433,130,1318
Abbaiah Layout,12.97932654,77.68081784,2,22
Akshayanagara,13.02072222,77.68338951,11,177
Anandapura,13.02422515,77.69285292,7,98
A Narayanapura,12.99503427,77.67707079,0,0
Annasandrapalya,12.96449672,77.67248422,4,99
Ayyappanagara Hoodi,13.00150918,77.71445006,2,2
Ayyappanagara KR Puram,13.00450683,77.71239878,8,139
Ayyappanagara Sadaramangala,13.00430618,77.71001823,12,217
Babusabpalya,13.02233464,77.64745137,313,2263
Bagmane World Technology Center Doddanekkundi,12.98264851,77.69301116,11,22
Banjara Layout,13.03831817,77.66515642,2,30
Basavanagara HAL,12.96695503,77.68262967,1,1
Basavanapura KR Puram,13.01094747,77.71005124,0,0
B Channasandra,13.01118287,77.66230859,25,350
B Channasandra Bridge,13.01052547,77.66249097,236,1995
BDS Nagara,13.06624040,77.64324948,5,28
BEML Gate,12.97154614,77.65802175,266,2245
BEML School,12.97300658,77.66861916,2,17
Benniganahalli,12.99402545,77.66324401,334,2590
Benniganahalli Bridge,12.99713740,77.66288018,26,293
Bhakthi Yoga Ashrama,13.02261580,77.68929630,7,98
Bhattarahalli,13.01963137,77.70925083,134,1080
Bible Cross,13.07127889,77.65162195,20,117
Bileshivale,13.05451211,77.67101244,18,253
B Nagasandra,12.94368121,77.65362829,3,35
B Narayanapura,13.00037684,77.68399582,227,1692
B Narayanapura Ring Road,12.99620423,77.68392228,208,1486
Brook Steel ESI ITPL,12.99310549,77.70546734,177,1401
Byrasandra Cross,12.97547787,77.66804717,10,152
Byrathi Bande,13.07782161,77.65341241,85,530
Byrathi Cross Hennuru,13.05698661,77.64836274,16,31
Byrathi Hennuru,13.05601970,77.65196398,1,1
CAP Gemini Garudacharpalya,12.99166801,77.70286627,7,10
Challaghatta B Nagasandra,12.94609986,77.64908127,2,34
Challaghatta Golf Club,12.95262047,77.65257150,2,34
Chelekere Hennur Layout,13.03070229,77.64396429,2,43
Chikka Devasandra KR Puram,13.00442103,77.70583134,12,217
CMR Circle Kalyananagara,13.02238452,77.63717964,2,8
CS-Ernst and Young Garudacharapalya,12.99218814,77.70342886,8,3
CS-Ernst Young Bennigonahalli,12.99353412,77.66112239,6,1
CS-HAL Public School,12.96352634,77.66315013,3,6
CS-St Michael School Hennuru Bande,13.05129689,77.64528930,2,10
CS-St Vincent Palloti School,13.03195529,77.65101582,4,9
CV Raman Nagara,12.98567334,77.66390335,33,312
Dattatreya Peeta Doddagubbi,13.06738937,77.66464949,4,60
Devasandra,13.00621465,77.70011902,15,224
Doctors Layout Kasturinagara,13.00614375,77.65945271,1,28
Dodda Nekkundi,12.97898227,77.69516661,220,1627
Dodda Nekkundi Cross,12.95600618,77.69178271,4,61
DRDO 2nd Sector Kempapura,12.94445497,77.66262844,1,0
DRDO 2nd Stage,12.98590248,77.67916829,11,83
EMC2,12.98286708,77.69288878,202,1465
Ernst Young Bennigonahalli,12.99350863,77.66105533,8,3
Favourite Shop Kammanahalli,13.02526395,77.63698652,1,1
Garden City College TC Palya,13.02443459,77.70711690,8,79
Garudacharpalya,12.99402101,77.70171069,228,1702
Gayathri Layout KR Puram,13.01042022,77.70508982,2,14
GBJ Colony Gate Marathahalli,12.95753271,77.69134015,0,0
Geddalahalli Hennur Main Road,13.04839588,77.64544539,17,37
GM palya,12.97514370,77.66610111,7,133
Gopalan Mall Benniganahalli,12.99312679,77.66181356,1,2
Gubbi Cross,13.06442077,77.65187314,80,581
HAL,12.95446504,77.68268519,40,144
HAL Main Gate,12.95844606,77.66603425,294,2172
HAL New Public School,12.95664398,77.68219113,4,9
Hanumanthappa Layout Bileshivale,13.05821060,77.65368462,3,9
HBR Ganapathi Temple,13.02852553,77.62830019,3,6
Hennur,13.02948992,77.63128348,63,506
Hennur Bande,13.03672263,77.64080824,99,834
Hennur Bande Sai Baba Temple,13.03885132,77.64352195,17,52
Hennur Junction,13.03149404,77.63586786,207,1357
Hennur Layout,13.03052590,77.63886273,0,0
Hennur Petrol Bunk,13.03311682,77.63750017,7,15
Hennuru,13.03939736,77.64148057,11,42
HNRJ,13.02803386,77.63292437,2,7
Horamavu,13.02645755,77.66082713,42,209
Horamavu Agara,13.03671897,77.65485942,8,74
Horamavu Signal,13.01953021,77.65450872,28,189
Hoysalanagara,13.01670722,77.66888469,1,1
HP Softwere Company Mahadevapura,12.99685327,77.68925741,3,4
HRBR Layout 3rd Block,13.03034363,77.63094820,72,432
HRBR Layout 80ft Road,13.02095416,77.64316968,2,40
HRBR Layout Cross,13.02385876,77.64321166,2,40
ISRO Satellite Centre,12.95970026,77.65649021,4,5
ITI Bhavana,13.00692549,77.69256055,0,0
ITIC,13.00774739,77.68345445,6,14
ITI Circle,13.00798593,77.68333056,67,568
ITI Colony Gate,13.00507080,77.68509091,276,2152
ITI Factory,13.00411346,77.68194437,9,12
ITPL Hyundai Showroom,13.00029718,77.68212341,3,2
Jagadishnagara,12.97162129,77.66563586,3,31
Janaki Rama Layout,13.04320116,77.64253526,59,353
Jayanthinagara,13.02877835,77.66375497,15,121
Jeevan Bheemanagara,12.96675632,77.66143341,1,4
Jeevan Bheemanagara Petrol Bunk,12.96747321,77.65593231,15,77
Jinke Thimmanahalli,13.02264323,77.68611655,0,0
Jn of 9th Main 3rd Cross Ayyappanagara,13.01818307,77.64729895,10,116
Jyothinagara Horamavu Main Road,13.03248379,77.65375569,1,32
Kaggadasapura,12.98560453,77.67252848,13,95
Kalkere,13.03366949,77.67462194,101,874
Kalkere Cross,13.02120220,77.67885298,17,211
Kalkere Near K channasandra,13.03347118,77.67484369,0,0
Kalkere School,13.03332195,77.67318428,6,62
Kalyananagara Bus Stand,13.02537939,77.64049150,67,481
Kanakagiri Haramavu,13.04138587,77.66729951,2,23
Kasthurinagara,13.00398938,77.66317961,100,756
Kaudenahalli,13.01321323,77.68154204,2,6
K Channasandra,13.04009499,77.67967035,7,45
Kempapura HAL,12.94657757,77.67305017,4,20
Kendriya Vidyalaya DRDO Quarters,12.98675452,77.66408086,4,9
K Narayanapura,13.06630811,77.64068328,18,155
K Narayanapura Cross Baglur Road,13.05268852,77.64613033,18,38
Konena Agrahara,12.95900434,77.65956134,234,1930
Koshys Hospital Kalkere,13.02066893,77.67701313,17,199
Kothanuru,13.06197433,77.64887344,81,598
Kristu Jayanti College,13.05877494,77.64293432,10,124
KR Puram,13.01132700,77.69866714,12,217
KR Puram Railway Station,13.00021342,77.67596501,73,239
Kurudu Sonnenahalli,13.01409914,77.73227602,1,4
Kyalasanahalli Byrathi,13.05642340,77.66060739,17,251
Lake Vihar Apartments TC Palya,13.02067547,77.70262420,3,5
Lal Bahaddur Shastrinagara,12.96927151,77.67021507,3,39
Mahadevapura ITPL,12.99735044,77.69070948,188,1433
Mahadevapura Ring Road,12.99118394,77.68761413,223,1578
Malleshpalya,12.97480483,77.67037868,12,183
Malleshpalya New Bus station,12.97277134,77.67795324,13,187
Malleshpalya Sriram Reddy Layout,12.97165658,77.68162116,0,0
